name,name_hiragana,name_romaji,needs_correction
二月田,にがつでん,nigatsudenn,1
古島,ふるじま,furujima,1
お台場海浜公園,おだいばかいひんこうえん,odaibakaihinnkouenn,1
東京国際クルーズターミナル,とうきょうこくさいくるーずたーみなる,toukyoukokusaikuru-zuta-minaru,1
テレコムセンター,てれこむせんたー,terekomusennta-,1
汐留,しおどめ,shiodome,1
台場,だいば,daiba,1
有明,ありあけ,ariake,1
東京ビッグサイト,とうきょうびっぐさいと,toukyoubiggusaito,1
新橋,しんばし,shinnbashi,1
竹芝,たけしば,takeshiba,1
芝浦ふ頭,しばうらふとう,shibaurafutou,1
日の出,ひので,hinode,1
青海,あおみ,aomi,1
新豊洲,しんとよす,shinntoyosu,1
市場前,しじょうまえ,shijoumae,1
有明テニスの森,ありあけてにすのもり,ariaketenisunomori,1
豊洲,とよす,toyosu,1
新石切,しんいしきり,shinishikiri,1
長田,ながた,nagata,1
吉田,よした,yoshita,1
荒本,あらもと,aramoto,1
生駒,いこま,ikoma,1
学研奈良登美ヶ丘,がっけんならとみがおか,gakkennnaratomigaoka,1
白庭台,しらにわだい,shiraniwadai,1
学研北生駒,がっけんきたいこま,gakkennkitaikoma,1
ポートターミナル,ぽーとたーみなる,po-tota-minaru,1
中埠頭,なかふとう,nakafutou,1
市民広場,しみんひろば,shiminhiroba,1
貿易センター,ぼうえきせんたー,bouekisennta-,1
三宮,さんのみや,sannnomiya,1
北埠頭,きたふとう,kitafutou,1
南公園,みなみこうえん,minamikouen,1
みなとじま,みなとじま,minatojima,1
中公園,なかこうえん,nakakouenn,1
医療センター,いりょうせんたー,iryousennta-,1
計算科学センター,けいさんかがくせんたー,keisannkagakusennta-,1
神戸空港,こうべくうこう,koubekuukou,1
岩瀬浜,いわせはま,iwasehama,1
競輪場前,けいりんじょうまえ,keirinnjoumae,1
東岩瀬,ひがしいわせ,higashiiwase,1
インテック本社前,いんてっくほんしゃまえ,inntekkuhonnshamae,1
萩浦小学校前,はぎうらしょうがっこうまえ,hagiurashougakkoumae,1
蓮町（馬場記念公園前）,はすまち（ばばきねんこうえんまえ）,hasumachi（babakinennkouennmae）,1
犬島新町,いぬじましんまち,inujimashinnmachi,1
城川原,じょうがわら,jougawara,1
越中中島,えっちゅうなかじま,ecchuunakajima,1
粟島（大阪屋ショップ前）,あわじま（おおさかやしょっぷまえ）,awajima（oosakayashoppumae）,1
下奥井,しもおくい,shimookui,1
奥田中学校前,おくだちゅうがっこうまえ,okudachuugakkoumae,1
富山駅,とやまえき,toyamaeki,1
盛岡,もりおか,morioka,1
御堂,みどう,midou,1
二戸,にのへ,ninohe,1
小鳥谷,こずや,kozuya,1
渋民,しぶたみ,shibutami,1
斗米,とまい,tomai,1
いわて沼宮内,いわてぬまくない,iwatenumakunai,1
厨川,くりやがわ,kuriyagawa,1
岩手川口,いわてかわぐち,iwatekawaguchi,1
一戸,いちのへ,ichinohe,1
金田一温泉,きんたいちおんせん,kinntaichionnsenn,1
滝沢,たきざわ,takizawa,1
小繋,こつなぎ,kotsunagi,1
奥中山高原,おくなかやまこうげん,okunakayamakougenn,1
目時,めとき,metoki,1
好摩,こうま,kouma,1
青山,あおやま,aoyama,1
巣子,すご,sugo,1
上総中野,かずさなかの,kazusanakano,1
大多喜,おおたき,ootaki,1
東総元,ひがしふさもと,higashifusamoto,1
上総中川,かずさなかがわ,kazusanakagawa,1
国吉,くによし,kuniyoshi,1
久我原,くがはら,kugahara,1
上総東,かずさあずま,kazusaazuma,1
西畑,にしはた,nishihata,1
小谷松,こやまつ,koyamatsu,1
総元,ふさもと,fusamoto,1
西大原,にしおおはら,nishioohara,1
新田野,にったの,nittano,1
大原,おおはら,oohara,1
西長田ゆりの里,にしながたゆりのさと,nishinagatayurinosato,1
鷲塚針原,わしづかはりばら,washidukaharibara,1
西別院,にしべついん,nishibetsuinn,1
中角,なかつの,nakatsuno,1
新田塚,にったづか,nittaduka,1
番田,ばんでん,banndenn,1
福井口,ふくいぐち,fukuiguchi,1
三国,みくに,mikuni,1
太郎丸エンゼルランド,たろうまるえんぜるらんど,taroumaruennzeruranndo,1
