uuid,name,alias_name
cf2ef53b-626b-4453-ae97-6af30cdf9c7c,九州旅客鉄道,JR九州
4b0167d3-df86-4cd7-84f4-8d4846d83283,沖縄都市モノレール,沖縄都市モノレール
35435f8a-9798-4998-9e95-c9f63bf6aae5,ゆりかもめ,ゆりかもめ
a848c9c7-8beb-426c-a586-40b5bccc6aec,近畿日本鉄道,近畿日本鉄道
ac881d6b-7114-4e22-81ae-be80a155966b,神戸新交通,神戸新交通
441f2e1e-41a9-411e-ba58-ae6869ac4430,富山地方鉄道,富山地方鉄道
39c43f95-a917-4b98-abc8-91d421ba0166,アイジーアールいわて銀河鉄道,IGRいわて銀河鉄道
71c6767b-9175-46b1-8ed4-7de989e2d164,いすみ鉄道,いすみ鉄道
23a8c66d-9ab2-474f-80c6-7ee34f723acb,えちぜん鉄道,えちぜん鉄道
defea993-ff4d-4e64-a591-7c70f5114898,くま川鉄道,くま川鉄道
a830dde2-57a9-408d-ad3c-ad1f57cc26e6,しなの鉄道,しなの鉄道
11c6a764-a150-49a4-856b-43b939adb07a,スカイレールサービス,スカイレールサービス
4a035137-7b88-4a26-8c80-09acbe23e767,のと鉄道,のと鉄道
2c4ada55-1547-442c-83b6-a6c19f417442,わたらせ渓谷鐵道,わたらせ渓谷鐵道
56a5f2de-5586-4e54-921e-b857bd3d869f,阿佐海岸鉄道,阿佐海岸鉄道
a226e9c5-a5b0-4dbe-a263-a440274a6fac,阿武隈急行,阿武隈急行
3edcf39f-c6fc-4e04-9ed1-23f45d4569a4,愛知環状鉄道,愛知環状鉄道
95b743d5-cd2f-4d27-874b-3aa591cda566,愛知高速交通,愛知高速交通
9a4d80b6-10e9-4354-aa8b-a9fffddbbe1c,鞍馬寺,鞍馬寺
f6d3e671-6933-4f06-8593-b5bb991687e7,伊勢鉄道,伊勢鉄道
ba078e99-88ba-40a8-b957-50e5c13ceaf0,伊豆急行,伊豆急行
4d6e92a2-2d89-4566-abdc-62eef687c7f2,十国峠,十国峠
d427407d-661c-4214-948b-8bc46516718b,伊豆箱根鉄道,伊豆箱根鉄道
33f64d6f-9537-4a07-ac37-dc080a915fd4,伊予鉄道,伊予鉄道
bd65e444-4e26-43e4-9240-ee710c5625e3,井原鉄道,井原鉄道
c27ef23c-ba30-423f-ab7b-255b006d91ba,一畑電車,一畑電車
31837586-d221-4c3e-8cfc-95f7b7092895,叡山電鉄,叡山電鉄
df93be6e-4233-446c-8869-a332bbc3cf3d,遠州鉄道,遠州鉄道
8d3a2ada-49e4-451c-b054-1a9a4048f112,横浜高速鉄道,横浜高速鉄道
44a36f88-a3bb-4507-a140-9b55466179c8,横浜市,横浜市営地下鉄
8e402c8f-c5a8-459d-afce-8ae2834c288f,横浜シーサイドライン,横浜シーサイドライン
aa7a8883-1524-42fb-b8d3-ab2c6a979389,岡山電気軌道,岡山電気軌道
ac6a8654-143a-44fc-b6c8-ecf0bab61438,会津鉄道,会津鉄道
87525dee-108b-4040-a17a-46e00aabd9ee,岳南電車,岳南電車
65c1dd10-1e34-4110-9b15-80f765f42ac5,甘木鉄道,甘木鉄道
323b81dd-113b-4dc1-b2bf-f2e6469a6f73,関東鉄道,関東鉄道
15e88ea1-2ba4-450b-9ea8-aeaa67a8628c,紀州鉄道,紀州鉄道
b6aa34c1-6b83-4954-811f-d7b6523e2dd2,京王電鉄,京王電鉄
be46ce5f-f1dc-494e-8e23-72c658728a70,京阪電気鉄道,京阪電気鉄道
3e3cf96f-586b-4b35-9966-ab14ed1b964a,京成電鉄,京成電鉄
041a6d96-c48d-4777-9732-0012e09ebf3e,京都市,京都市営地下鉄
1a15d5bd-a38f-4d87-8d8b-e7290652bdc9,京浜急行電鉄,京浜急行電鉄
343e4a9c-c9e1-4d36-8c2d-2ef472f2d91e,京福電気鉄道,京福電気鉄道
370eb372-1e83-4c79-803c-6756c7e52cf8,錦川鉄道,錦川鉄道
2742f1cc-110a-43a4-b4b8-adaa8366cc35,四日市あすなろう鉄道,四日市あすなろう鉄道
d55aae19-0292-46df-a31d-6ac2dd9b7931,阪神電気鉄道,阪神電気鉄道
21f89100-859e-485d-827c-3dfeceec79d6,近江鉄道,近江鉄道
38e39436-ed26-401f-962a-cdbcee058b65,熊本市,熊本市電
97f6e0ab-310e-483a-9197-3f0b7eec9361,熊本電気鉄道,熊本電気鉄道
50d4225a-7881-45c1-9439-a73255ced57c,御岳登山鉄道,御岳登山鉄道
20afa2ec-7b3c-4b80-a678-786ac4f68983,広島高速交通,広島高速交通
9aa71842-95dc-47e7-acc5-133c5b0ff78e,広島電鉄,広島電鉄
0f5b9ce1-fdfc-4107-935b-8a2d3729e81b,弘南鉄道,弘南鉄道
7b74c0ac-fb07-4b45-8c2b-8298812a4183,江ノ島電鉄,江ノ島電鉄
d4532d8c-39cb-4682-968f-03faad20bc16,高松琴平電気鉄道,高松琴平電気鉄道
a4f47830-0588-4335-a0cd-fc4b2a515e40,高尾登山電鉄,高尾登山電鉄
bf47aaa2-85fe-4560-866f-61651ca12292,黒部峡谷鉄道,黒部峡谷鉄道
c3d2f8f7-db12-414f-950c-be1f9f1ed77b,嵯峨野観光鉄道,嵯峨野観光鉄道
eaedc6c2-77d4-4fbd-9132-191a9a3e494f,阪急電鉄,阪急電鉄
6fc573a6-a114-40c6-90df-6ddb1d6b8927,阪堺電気軌道,阪堺電気軌道
cceb2f5a-f975-4d32-b6d9-51b77e38c421,埼玉高速鉄道,埼玉高速鉄道
1057046b-c5be-4411-8e73-b78cca67df5a,埼玉新都市交通,埼玉新都市交通
ca544467-8bd2-4301-a352-1be9b210c6ee,一般社団法人札幌市交通事業振興公社,札幌市交通事業振興公社
029b1a99-3d85-4275-b5e1-b4023381e8e2,札幌市,札幌市営地下鉄
5935cbdf-9fa5-4a4e-9855-9ee23d17acaa,三岐鉄道,三岐鉄道
28965d1c-14b7-4c47-b914-b2d0e582adc3,三陸鉄道,三陸鉄道
880a99a5-1685-4ade-a844-0b9863d8a5cd,山形鉄道,山形鉄道
706cf699-5d98-4f52-8dda-9f367ced9bf8,山万,山万
d988ecfa-eaaf-45e3-9d4a-e88397214587,山陽電気鉄道,山陽電気鉄道
b4f7d94b-2f3d-434f-a0be-30035996b4fd,四国ケーブル,四国ケーブル
e9d8644d-c862-463b-8229-dea514cad453,四国旅客鉄道,JR四国
9696b7ba-97f9-4460-a2bc-9d173d6acb5c,鹿児島市,鹿児島市電
d78ff059-ac91-48e7-8ce6-14a675fe07cf,鹿島臨海鉄道,鹿島臨海鉄道
fbbacf72-88d2-4833-b6fd-7a2d848c5c97,芝山鉄道,芝山鉄道
