name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_name
二月田,にがつでん,nigatsudenn,31.25432,130.6301,010112,九州旅客鉄道
古島,ふるじま,furujima,26.23064,127.70294,010127,沖縄都市モノレール
お台場海浜公園,おだいばかいひんこうえん,odaibakaihinnkouenn,35.62981,139.77853,004091,ゆりかもめ
東京国際クルーズターミナル,とうきょうこくさいくるーずたーみなる,toukyoukokusaikuru-zuta-minaru,35.62136,139.7731,004128,ゆりかもめ
テレコムセンター,てれこむせんたー,terekomusennta-,35.61773,139.77967,004144,ゆりかもめ
汐留,しおどめ,shiodome,35.66432,139.76091,003887,ゆりかもめ
台場,だいば,daiba,35.62587,139.77138,004112,ゆりかもめ
有明,ありあけ,ariake,35.63455,139.79334,004064,ゆりかもめ
東京ビッグサイト,とうきょうびっぐさいと,toukyoubiggusaito,35.63021,139.7913,004087,ゆりかもめ
新橋,しんばし,shinnbashi,35.66627,139.7587,003872,ゆりかもめ
竹芝,たけしば,takeshiba,35.65407,139.76202,003958,ゆりかもめ
芝浦ふ頭,しばうらふとう,shibaurafutou,35.64222,139.75787,004030,ゆりかもめ
日の出,ひので,hinode,35.64926,139.75916,003979,ゆりかもめ
青海,あおみ,aomi,35.6248,139.78132,004119,ゆりかもめ
新豊洲,しんとよす,shinntoyosu,35.64871,139.79012,003981,ゆりかもめ
市場前,しじょうまえ,shijoumae,35.64569,139.78565,004001,ゆりかもめ
有明テニスの森,ありあけてにすのもり,ariaketenisunomori,35.63998,139.7889,004037,ゆりかもめ
豊洲,とよす,toyosu,35.65477,139.79587,003951,ゆりかもめ
新石切,しんいしきり,shinishikiri,34.6801,135.6411,007215,近畿日本鉄道
長田,ながた,nagata,34.67876,135.59197,007232,近畿日本鉄道
吉田,よした,yoshita,34.68034,135.62452,007213,近畿日本鉄道
荒本,あらもと,aramoto,34.67863,135.60499,007234,近畿日本鉄道
生駒,いこま,ikoma,34.69307,135.69812,007122,近畿日本鉄道
学研奈良登美ヶ丘,がっけんならとみがおか,gakkennnaratomigaoka,34.72639,135.74916,006945,近畿日本鉄道
白庭台,しらにわだい,shiraniwadai,34.72103,135.71683,006966,近畿日本鉄道
学研北生駒,がっけんきたいこま,gakkennkitaikoma,34.72485,135.72342,006950,近畿日本鉄道
ポートターミナル,ぽーとたーみなる,po-tota-minaru,34.68146,135.20222,007203,神戸新交通
中埠頭,なかふとう,nakafutou,34.66929,135.21717,007288,神戸新交通
